US,Total,9995517,0.13,25878423979,0.12,8929894,0.15,2844942,0.88,24031634638,0.13,1846789341,0.41,184988961,0.45,0
US,Financial Admin.,186509,0.53,450910120,0.41,176615,0.51,38998,3.39,431243254,0.41,19666866,2.6,1886924,2.84,0
US,Other Government Admin.,186953,0.79,482398949,0.57,169232,0.79,149660,2.87,439190929,0.57,43208020,2.67,3361702,2.82,0
US,Judicial and Legal,201308,0.48,544315580,0.38,191470,0.49,26625,2.34,521681745,0.38,22633835,2.15,1780441,1.77,0
US,Police Protection-Officers,508079,0.41,1709866603,0.33,499196,0.4,29067,3.29,1694544733,0.33,15321870,2.99,1640118,3.55,0
US,Police Protection-Other,154611,0.54,333576541,0.4,131406,0.52,61918,1.5,299152922,0.42,34423619,1.23,4116882,1.4,0
US,Firefighters,252692,1.62,860314901,1.2,241915,1.49,88909,7.19,845841949,1.22,14472952,7.93,1963102,9.67,0
US,Fire-Other,18431,1.3,51482929,0.9,16921,1.03,6508,18.42,48750988,0.85,2731941,7.45,282866,6.98,0
US,Correction,200836,0.48,530664645,0.32,194112,0.48,16031,1.47,519100896,0.32,11563749,1.39,1172295,1.74,0
US,Streets & Highways,285716,0.65,660277381,0.56,274641,0.66,23841,4.01,643399604,0.57,16877777,2.66,1992913,3.28,0
US,Air Transportation,32899,0.37,91946130,0.31,31748,0.37,2329,2.54,90061743,0.31,1884387,2.4,211302,2.45,1
US,Water Transport/Terminals,7097,1.7,22644472,0.94,6708,0.76,962,7.14,21818793,0.87,825679,11.59,67477,27.93,1
US,Public Welfare,265456,0.55,573203692,0.39,244111,0.52,41852,1.78,540642918,0.41,32560774,1.53,3704933,1.87,0
US,Health,202732,0.68,495696362,0.5,180632,0.7,50279,3.17,451161711,0.54,44534651,1.14,3838570,1.42,0
US,Hospitals,551707,0.8,1389096888,0.7,479251,0.84,125026,1.3,1213073401,0.77,176023487,1.55,12773040,1.31,0
US,Solid Waste Management,109342,0.71,255929932,0.56,103983,0.71,12301,2.99,248261465,0.57,7668467,2.18,976524,2.55,0
US,Sewerage,120221,0.75,332344123,0.62,120341,0.71,7750,6.66,327451078,0.62,4893045,4.93,496717,5.48,0
US,Parks & Recreation,201362,0.66,400862272,0.5,145173,0.51,154367,2.72,323935815,0.52,76926457,1.46,9867636,1.53,0
US,Housing & Community Dev.,123173,1.38,304982204,1.14,116983,1.37,13486,4.09,294948080,1.17,10034124,3.16,1087085,3.3,1
US,Natural Resources,36090,0.95,77444091,0.84,33460,0.93,10054,6.44,73437035,0.86,4007056,3.65,469005,3.44,0
US,Water Supply,152207,0.83,400466737,0.69,147013,0.81,17085,5.53,391551651,0.7,8915086,4.04,980863,5.12,0
US,Electric Power,75491,1.11,264230149,0.62,74021,1.09,4654,7.26,261479702,0.63,2750447,3.84,263375,6.27,1
US,Gas Supply,10320,1.64,26326618,0.85,10199,1.53,278,18.29,26125439,0.85,201179,8.04,23555,9.99,0
US,Transit,185426,0.12,566800075,0.09,174291,0.1,14796,0.77,543295170,0.09,23504905,0.47,2009723,0.52,0
US,Elem & Sec School Instruc.,3675398,0.18,10617252554,0.17,3391071,0.18,739084,0.78,10099305072,0.17,517947482,0.77,48773691,0.83,0
US,Elem & Sec School-Other,1603364,0.25,2778312560,0.49,1267363,0.52,746113,2.73,2287872206,0.57,490440354,0.86,57066688,0.87,0
US,Higher Education-Instruc.,119362,0.05,462297708,0.05,79387,0.07,146934,0.05,341251057,0.06,121046651,0.09,6698427,0.07,0
US,Higher Education-Other,156338,0.2,345774483,0.27,113367,0.28,124459,0.01,289510823,0.32,56263660,0.01,7406031,0.02,0
US,Libraries,101898,0.68,194325740,0.5,73821,0.63,73784,8.48,155582352,0.54,38743388,1.22,4895928,1.34,0
US,Other & Unallocable,270499,2.06,654679540,1.57,241463,2.08,117792,4.72,607962107,1.64,46717433,4.78,5181148,4.43,1
AL,Total,160212,0.73,312472058,0.62,151486,0.76,26901,3.59,299487925,0.63,12984133,2.53,1536750,3.44,0
AL,Financial Admin.,3181,3.44,6387125,3.72,3085,3.41,208,8.73,6246447,3.8,140678,10.35,16540,11.74,1
AL,Other Government Admin.,2155,14.8,4542630,13.52,1958,16.27,1708,28.68,3973907,15.34,568723,13.04,40329,12.46,1
AL,Judicial and Legal,1401,4.4,2978424,2.37,1233,4.51,624,11.94,2658439,2.42,319985,9.13,27862,10.98,1
AL,Police Protection-Officers,7273,2.15,17632760,1.68,7224,2.27,254,25.7,17520826,1.68,111934,29.81,15853,29.78,1
AL,Police Protection-Other,2119,4.97,3315029,3.88,1824,4.6,769,6.85,2949696,4.16,365333,10.48,50495,11.29,0
AL,Firefighters,4333,1,10428611,0.97,4253,0.95,360,27.6,10329204,0.96,99407,21.03,13344,21.94,0
AL,Fire-Other,145,1.66,327190,2.28,141,1.34,17,8.79,320722,2.26,6468,25.79,724,28.06,1
AL,Correction,2264,6.84,4302927,4.4,2149,6.39,224,16.63,4186768,4.45,116159,29.15,20828,28.62,0
AL,Streets & Highways,6224,3.66,10612662,3.27,6027,3.38,268,32.41,10415357,3.27,197305,34.04,33417,35.92,1
AL,Air Transportation,383,0,766582,0,374,0,20,0,754481,0,12101,0,1733,0,0
AL,Water Transport/Terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Public Welfare,1140,9.6,1558189,6.27,952,8.65,326,32.18,1371557,5.7,186632,31.45,33182,37.69,0
AL,Health,3263,0.19,6338519,0.34,3071,0.2,599,8.35,6048003,0.17,290516,6.54,38938,8.09,0
AL,Hospitals,20135,2.06,39266411,1.89,17609,2.03,4097,3.51,34729851,2.11,4536560,2.72,447442,2.89,0
AL,Solid Waste Management,3453,4.01,5503178,3.48,3414,4.06,62,8.85,5458095,3.5,45083,5.24,6725,6.77,0
AL,Sewerage,1339,3.71,2720467,2.64,1334,3.72,8,0,2714520,2.64,5947,0,852,0,1
AL,Parks & Recreation,2737,2.13,4394651,1.22,2278,2.52,883,1.82,3867856,1.36,526795,1.7,80105,2.28,1
AL,Housing & Community Dev.,2794,18.03,5365851,13.4,2561,18.37,350,24,5053475,14.21,312376,9.63,40111,16.47,0
AL,Natural Resources,171,2.22,262026,2.14,148,2.56,45,0,236248,2.38,25778,0,4099,0,1
AL,Water Supply,2698,7.85,5403984,4.63,2459,4.65,2104,15.98,5151929,3.94,252055,57.94,48632,61.54,1
AL,Electric Power,1161,0.96,3109077,0.54,1136,1,38,11.32,3077509,0.54,31568,6.28,4414,8.63,1
AL,Gas Supply,919,4.78,2061730,4.15,905,4.85,34,1.77,2044066,4.19,17664,5.45,2454,3.05,0
AL,Transit,450,0,789208,0,390,0,97,0,718091,0,71117,0,10590,0,1
AL,Elem & Sec School Instruc.,58801,0.95,132036937,0.82,57604,1.01,6962,4.63,130430697,0.83,1606240,5.18,200852,5.86,0
AL,Elem & Sec School-Other,25660,0.95,30745568,2.48,23902,2.07,5055,8.97,28753646,2.56,1991922,10.43,298360,10.57,1
AL,Higher Education-Instruc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Higher Education-Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Libraries,888,3.91,1460681,2.06,681,4.26,405,6.78,1212372,1.94,248309,7.54,35406,8.15,0
AL,Other & Unallocable,5125,12.2,10161641,7.46,4774,11.7,1384,17.65,9264163,7.87,897478,23.28,63463,24.76,0
AK,Total,24665,1.62,94487062,1.07,21814,1.76,9431,20.14,87296820,1.11,7190242,3.76,502507,5.49,0
AK,Financial Admin.,792,3.77,2936440,2.7,766,3.69,77,63.27,2869578,2.68,66862,29.12,4122,50.5,0
AK,Other Government Admin.,1034,7.33,3622659,4.08,933,7.31,343,43.25,3352651,3.15,270008,38.32,18877,54.84,0
AK,Judicial and Legal,88,0,455754,0,86,0,2,0,451943,0,3811,0,255,0,0
AK,Police Protection-Officers,889,10.36,5117181,7.38,878,10.64,23,76.76,5098212,7.4,18969,70.17,1859,76.55,0
AK,Police Protection-Other,466,25.45,1512615,16.12,429,22.42,130,72.83,1443273,16.79,69342,37.45,8327,64.5,0
AK,Firefighters,595,3.24,3042677,2.1,582,3.28,117,11.36,3026463,2.11,16214,20.98,1840,14.45,0
AK,Fire-Other,50,0,253612,0,47,0,3,0,249434,0,4178,0,421,0,0
AK,Correction,36,0,116747,0,33,0,6,0,111498,0,5249,0,511,0,1
AK,Streets & Highways,864,6.39,3473286,5.12,819,6.77,59,2.17,3372890,5.28,100396,1.29,7966,1.61,0
AK,Air Transportation,58,2.21,172124,0.41,52,2.46,5,25.6,163240,0.43,8884,0.81,1012,0.76,1
AK,Water Transport/Terminals,162,21.48,553984,13.96,145,19.2,30,46.39,498968,14.24,55016,55.66,3273,46.78,0
AK,Public Welfare,135,6.56,510229,3,115,0,38,46.62,474874,0,35355,43.28,3669,44.66,1
AK,Health,562,4.56,2125327,4.4,519,4.94,112,0,2015531,4.64,109796,0,7471,0,0
AK,Hospitals,113,20.97,247590,12.05,87,27.24,38,0,191428,15.59,56162,0,4531,0,0
AK,Solid Waste Management,263,5.66,1073051,3.49,252,5.91,29,34.97,1045582,3.58,27469,0.57,2018,1.13,0
AK,Sewerage,437,5.47,2003203,2.36,420,5.69,19,0,1961324,2.41,41879,0,3151,0,0
AK,Parks & Recreation,548,1.93,1483006,1.68,365,2.51,454,1.54,1170525,2.11,312481,0.96,31768,1.12,0
AK,Housing & Community Dev.,696,3.97,2270300,3.08,509,4.23,230,4.38,1722681,3.95,547619,2.96,31349,3.62,0
AK,Natural Resources,17,0,56608,0,17,0,0,0,56608,0,0,0,0,0,0
AK,Water Supply,350,9.17,1238621,7.88,332,8.88,31,57.14,1174216,8.29,64405,12.95,3297,27,0
AK,Electric Power,648,4.49,3369928,3.5,612,3.85,84,57.83,3259769,3.49,110159,27.77,6311,44.16,0
AK,Gas Supply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AK,Transit,285,0,912049,0,253,0,40,0,811668,0,100381,0,5433,0,0
AK,Elem & Sec School Instruc.,9647,0.69,37602714,0.67,8530,0.75,2582,0.62,34425982,0.73,3176732,0.4,195980,0.47,0
AK,Elem & Sec School-Other,3269,0.92,9381142,0.74,2744,0.84,1621,1.16,8181949,0.83,1199193,1.14,91803,1.26,1
AK,Higher Education-Instruc.,14,0,40149,0,13,0,2,0,38778,0,1371,0,185,0,0
AK,Higher Education-Other,35,0,102784,0,31,0,11,0,97299,0,5485,0,751,0,0
AK,Libraries,323,3.59,852531,1.81,226,2.46,186,7.32,666654,1.83,185877,5.1,16251,6.51,1
AK,Other & Unallocable,2289,8.75,9960751,2.34,2019,7.47,3159,59.76,9363802,1.66,596949,29.09,50076,34.6,0
AZ,Total,156216,0.66,389620150,0.65,136815,1.03,40787,1.72,361427523,0.7,28192627,1.33,3407435,1.52,0
AZ,Financial Admin.,3273,2.28,7919519,1.98,3188,2.27,162,3.23,7794448,2.01,125071,7.65,15099,7.05,0
AZ,Other Government Admin.,3460,2.76,10107955,2.42,3238,2.7,574,25.06,9697953,2.51,410002,5.7,38608,4.83,0
AZ,Judicial and Legal,5862,1.91,16022236,1.78,5617,2.01,684,3.96,15534176,1.84,488060,3.28,43770,4.03,0
AZ,Police Protection-Officers,7334,1.73,23979847,1.26,7304,1.74,77,37.49,23929777,1.26,50070,46.64,5265,46.63,0
AZ,Police Protection-Other,3225,2.11,7559294,1.64,3109,1.93,255,17.26,7356678,1.66,202616,10.23,21928,10.9,0
AZ,Firefighters,3353,0.49,11864353,1.2,3296,0.47,640,4.91,11782841,1.21,81512,16.25,10049,17.45,0
AZ,Fire-Other,504,6.2,1497942,1.77,433,2.32,102,21.48,1388098,1.31,109844,17.56,11433,28.06,1
AZ,Correction,4591,0.95,10860998,1.25,4466,0.82,384,3.05,10644129,1.28,216869,1.43,22179,1.48,0
