US,Total,9995517,0.13,25878423979,0.12,8929894,0.15,2844942,0.88,24031634638,0.13,1846789341,0.41,184988961,0.45 
US,Financial Admin.,186509,0.53,450910120,0.41,176615,0.51,38998,3.39,431243254,0.41,19666866,2.60,1886924,2.84 
US,Other Government Admin.,186953,0.79,482398949,0.57,169232,0.79,149660,2.87,439190929,0.57,43208020,2.67,3361702,2.82 
US,Judicial and Legal,201308,0.48,544315580,0.38,191470,0.49,26625,2.34,521681745,0.38,22633835,2.15,1780441,1.77 
US,Police Protection-Officers,508079,0.41,1709866603,0.33,499196,0.40,29067,3.29,1694544733,0.33,15321870,2.99,1640118,3.55 
US,Police Protection-Other,154611,0.54,333576541,0.40,131406,0.52,61918,1.50,299152922,0.42,34423619,1.23,4116882,1.40 
US,Firefighters,252692,1.62,860314901,1.20,241915,1.49,88909,7.19,845841949,1.22,14472952,7.93,1963102,9.67 
US,Fire-Other,18431,1.30,51482929,0.90,16921,1.03,6508,18.42,48750988,0.85,2731941,7.45,282866,6.98 
US,Correction,200836,0.48,530664645,0.32,194112,0.48,16031,1.47,519100896,0.32,11563749,1.39,1172295,1.74 
US,Streets & Highways,285716,0.65,660277381,0.56,274641,0.66,23841,4.01,643399604,0.57,16877777,2.66,1992913,3.28 
US,Air Transportation,32899,0.37,91946130,0.31,31748,0.37,2329,2.54,90061743,0.31,1884387,2.40,211302,2.45 
US,Water Transport/Terminals,7097,1.70,22644472,0.94,6708,0.76,962,7.14,21818793,0.87,825679,11.59,67477,27.93 
US,Public Welfare,265456,0.55,573203692,0.39,244111,0.52,41852,1.78,540642918,0.41,32560774,1.53,3704933,1.87 
US,Health,202732,0.68,495696362,0.50,180632,0.70,50279,3.17,451161711,0.54,44534651,1.14,3838570,1.42 
US,Hospitals,551707,0.80,1389096888,0.70,479251,0.84,125026,1.30,1213073401,0.77,176023487,1.55,12773040,1.31 
US,Solid Waste Management,109342,0.71,255929932,0.56,103983,0.71,12301,2.99,248261465,0.57,7668467,2.18,976524,2.55 
US,Sewerage,120221,0.75,332344123,0.62,120341,0.71,7750,6.66,327451078,0.62,4893045,4.93,496717,5.48 
US,Parks & Recreation,201362,0.66,400862272,0.50,145173,0.51,154367,2.72,323935815,0.52,76926457,1.46,9867636,1.53 
US,Housing & Community Dev.,123173,1.38,304982204,1.14,116983,1.37,13486,4.09,294948080,1.17,10034124,3.16,1087085,3.30 
US,Natural Resources,36090,0.95,77444091,0.84,33460,0.93,10054,6.44,73437035,0.86,4007056,3.65,469005,3.44 
US,Water Supply,152207,0.83,400466737,0.69,147013,0.81,17085,5.53,391551651,0.70,8915086,4.04,980863,5.12 
US,Electric Power,75491,1.11,264230149,0.62,74021,1.09,4654,7.26,261479702,0.63,2750447,3.84,263375,6.27 
US,Gas Supply,10320,1.64,26326618,0.85,10199,1.53,278,18.29,26125439,0.85,201179,8.04,23555,9.99 
US,Transit,185426,0.12,566800075,0.09,174291,0.10,14796,0.77,543295170,0.09,23504905,0.47,2009723,0.52 
US,Elem & Sec School Instruc.,3675398,0.18,10617252554,0.17,3391071,0.18,739084,0.78,10099305072,0.17,517947482,0.77,48773691,0.83 
US,Elem & Sec School-Other,1603364,0.25,2778312560,0.49,1267363,0.52,746113,2.73,2287872206,0.57,490440354,0.86,57066688,0.87 
US,Higher Education-Instruc.,119362,0.05,462297708,0.05,79387,0.07,146934,0.05,341251057,0.06,121046651,0.09,6698427,0.07 
US,Higher Education-Other,156338,0.20,345774483,0.27,113367,0.28,124459,0.01,289510823,0.32,56263660,0.01,7406031,0.02 
US,Libraries,101898,0.68,194325740,0.50,73821,0.63,73784,8.48,155582352,0.54,38743388,1.22,4895928,1.34 
US,Other & Unallocable,270499,2.06,654679540,1.57,241463,2.08,117792,4.72,607962107,1.64,46717433,4.78,5181148,4.43 
AL,Total,160212,0.73,312472058,0.62,151486,0.76,26901,3.59,299487925,0.63,12984133,2.53,1536750,3.44 
AL,Financial Admin.,3181,3.44,6387125,3.72,3085,3.41,208,8.73,6246447,3.80,140678,10.35,16540,11.74 
AL,Other Government Admin.,2155,14.80,4542630,13.52,1958,16.27,1708,28.68,3973907,15.34,568723,13.04,40329,12.46 
AL,Judicial and Legal,1401,4.40,2978424,2.37,1233,4.51,624,11.94,2658439,2.42,319985,9.13,27862,10.98 
AL,Police Protection-Officers,7273,2.15,17632760,1.68,7224,2.27,254,25.70,17520826,1.68,111934,29.81,15853,29.78 
AL,Police Protection-Other,2119,4.97,3315029,3.88,1824,4.60,769,6.85,2949696,4.16,365333,10.48,50495,11.29 
AL,Firefighters,4333,1.00,10428611,0.97,4253,0.95,360,27.60,10329204,0.96,99407,21.03,13344,21.94 
AL,Fire-Other,145,1.66,327190,2.28,141,1.34,17,8.79,320722,2.26,6468,25.79,724,28.06 
AL,Correction,2264,6.84,4302927,4.40,2149,6.39,224,16.63,4186768,4.45,116159,29.15,20828,28.62 
AL,Streets & Highways,6224,3.66,10612662,3.27,6027,3.38,268,32.41,10415357,3.27,197305,34.04,33417,35.92 
